,gloss,wnid,words
13758,a rack for parking bicycles,n02835829,bicycle rack
13759,a rack attached to a vehicle; for carrying luggage or skis or the like,n02969886,carrier
13760,a device on an aircraft for carrying bombs,n02868429,bomb rack
13761,carrier (as behind a bicycle seat) for luggage,n03695957,luggage carrier
13762,carrier for holding luggage above the seats of a train or on top of a car,n03696301,"luggage rack, roof rack"
13763,a carrier for holding skis on top of a vehicle,n04230707,ski rack
13764,a rack with hooks for temporarily holding coats and hats,n03059103,"coatrack, coat rack, hatrack"
13765,a rack for holding dishes as dishwater drains off of them,n03207630,dish rack
13766,a rack that holds hay for feeding livestock,n03500971,hayrack
13767,a rack for holding a smoker's pipes,n03946723,pipe rack
13768,a rack for holding plates to dry after they have been washed,n03961711,plate rack
13769,a rack for storing ties,n04434207,tie rack
13770,a rack for holding slices of toast,n04442741,toastrack
13771,a rack consisting of one or more bars on which towels can be hung,n04459773,"towel rack, towel horse"
13772,a framework of ribs,n04087826,ribbing
13773,a framework that holds the panes of a window in the window frame,n04136510,"sash, window sash"
13774,a window sash that is hinged (usually on one side),n02976350,casement
13775,a framework for holding wood that is being sawed,n04140631,"sawhorse, horse, sawbuck, buck"
13776,sawhorses used in pairs to support a horizontal tabletop,n04479694,trestle
13777,a frame for constraining an animal while it is receiving veterinary attention or while being shod,n04324741,stocks
13778,a frame that supports a boat while it is under construction,n04324910,stocks
13779,a wooden framework on which canvas is stretched and fixed for oil painting,n04337157,stretcher
13780,a frame made of two hoops; used for embroidering,n04387261,"tambour, embroidery frame, embroidery hoop"
13781,a framework with hooks used for stretching and drying cloth,n04411835,tenter
13782,"a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure",n04492375,truss
13783,an enclosing framework on casters or wheels; helps babies learn to walk,n04545305,"walker, baby-walker, go-cart"
13784,a light enclosing framework (trade name Zimmer) with rubber castors or wheels and handles; helps invalids or the handicapped or the aged to walk,n04545471,"walker, Zimmer, Zimmer frame"
13785,framework consisting of stakes interwoven with branches to form a fence,n04564118,wattle
13786,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,n04587648,window
13787,a window that sticks out from the outside wall of a house,n02813399,"bay window, bow window"
13788,a projecting bay window corbeled or cantilevered out from a wall,n03855333,"oriel, oriel window"
13789,a window with one or more casements,n02976455,casement window
13790,part of an interior wall rising above the adjacent roof with windows admitting light,n03041810,"clerestory, clearstory"
13791,a window of a store facing onto the street; used to display merchandise for sale in the store,n03211789,"display window, shop window, shopwindow, show window"
13792,a gabled extension built out from a sloping roof to accommodate a vertical window,n03224603,"dormer, dormer window"
13793,the window in a gabled extension built to accommodate a window,n03224753,dormer window
13794,an oval or round dormer window,n03868324,oxeye
13795,a window with two panes of glass and a space between them; reduces heat and noise transmission through the window,n03227010,double glazing
13796,a window having two sashes that slide up and down,n03227184,double-hung window
13797,a semicircular window over a door or window; usually has sash bars like the ribs of a fan,n03320959,fanlight
13798,a narrow window having a lancet arch and without tracery,n03637898,lancet window
13799,a window with glass louvers,n03692842,"louvered window, jalousie"
13800,a circular or oval window; 17th or 18th century French architecture,n03841290,oeil de boeuf
13801,a large window with a single pane (usually overlooking a view),n03932080,picture window
13802,a window that opens by pivoting either horizontally or vertically,n03952150,pivoting window
13803,a window in a ship or airplane,n03986562,porthole
13804,circular window filled with tracery,n04110178,"rose window, rosette"
13805,a window with (usually two) sashes that slide vertically to let in air,n04137089,sash window
13806,a window in a roof to admit daylight,n04232800,"skylight, fanlight"
13807,a window that open by sliding horizontally,n04239333,sliding window
13808,a window made of stained glass,n04297750,stained-glass window
13809,a window outside an ordinary window to protect against severe weather or winter,n04329958,"storm window, storm sash"
13810,a window above a door that is usually hinged to a horizontal crosspiece over the door,n04473108,"transom, transom window, fanlight"
13811,the framework that supports a window,n04589593,window frame
13812,"the internal supporting structure that gives an artifact its shape; ""the building has a steel skeleton""",n04226537,"skeleton, skeletal frame, frame, underframe"
13813,the skeleton of a motor vehicle consisting of a steel frame supported on springs that holds the body and motor,n03010473,chassis
13814,a light curved skeleton to spread out a skirt,n03534429,hoop
13815,a hoop worn beneath a skirt to extend it horizontally; worn by European women in the 16th and 17th centuries,n03323319,farthingale
13816,set of small hoops used to add fullness over the hips,n03883278,pannier
13817,"supporting structure that holds up or provides a foundation; ""the statue stood on a marble support""",n04360501,support
13818,a masonry support that touches and directly receives thrust or pressure of an arch or bridge,n02669295,abutment
13819,the lowest part of an entablature; rests immediately on the capitals of the columns,n02734835,architrave
13820,the ground floor facade or interior in Renaissance architecture,n02800675,basement
13821,a support usually of stone or brick; supports the wall of a building,n02929289,"buttress, buttressing"
13822,a buttress that stands apart from the main structure and connected to it by an arch,n03373943,"flying buttress, arc-boutant"
13823,"lowest support of a structure; ""it was built on a base of solid rock""; ""he stood at the foot of the tower""",n03387016,"foundation, base, fundament, foot, groundwork, substructure, understructure"
13824,a foundation (usually on soft ground) consisting of an extended layer of reinforced concrete,n04045787,raft foundation
13825,"a foundation of earth or rock supporting a road or railroad track; ""the track bed had washed away""",n02819697,bed
13826,a bed on which railroad track is laid,n04047834,railroad bed
13827,a bed supporting a road,n04096733,roadbed
13828,an architectural support or base (as for a column or statue),n03903868,"pedestal, plinth, footstall"
13829,a plain plinth that supports a wall,n04255499,socle
13830,a support placed beneath or against something to keep it from shaking or falling,n04011242,prop
13831,a wooden prop used to support the roof of a mine,n03951690,"pitprop, sprag"
13832,a structure taller than its diameter; can stand alone or be attached to a larger building,n04460130,tower
13833,a tower that is part of a defensive structure (such as a castle),n02791665,"barbican, barbacan"
13834,a tower with a light that gives warning of shoals to passing ships,n02814860,"beacon, lighthouse, beacon light, pharos"
13835,a tower that supports or shelters a bell,n02826886,bell tower
13836,a bell tower; usually stands alone unattached to a building,n02946127,"campanile, belfry"
13837,the tower of a church,n03029197,church tower
13838,a tower with a large clock visible high up on an outside face,n03047052,clock tower
13839,a tower with an elevated workspace enclosed in glass for the visual observation of aircraft around an airport,n03098959,control tower
13840,"tower consisting of a multistoried building of offices or apartments; ""`tower block' is the British term for `high-rise'""",n03519387,"high-rise, tower block"
13841,slender tower with balconies,n03767745,minaret
13842,a tower for mooring airships,n03784793,"mooring tower, mooring mast"
13843,"a large vertical steel tower supporting high-tension power lines; ""power pylons are a favorite target for terrorists""",n04028581,"pylon, power pylon"
13844,a tower for guiding pilots or marking the turning point in a race,n04028764,pylon
13845,tower of a kind once used to make shot; molten lead was poured through a sieve and dropped into water,n04206790,shot tower
13846,a cylindrical tower used for storing silage,n04220250,silo
13847,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top,n04312432,"steeple, spire"
13848,(architecture) a slender upright spire at the top of a buttress of tower,n03943266,pinnacle
13849,a tower that serves to support something,n04361260,supporting tower
13850,a supporting tower used to support a bridge,n04479823,trestle
13851,a small tower extending above a building,n04501947,turret
13852,an observation tower for a lookout to watch over prisoners or watch for fires or enemies,n04556948,watchtower
13853,a watchtower where a lookout is posted to watch for fires,n03347617,fire tower
13854,structure forming the transverse part of a cruciform church; crosses the nave at right angles,n04471148,transept
13855,a supporting structure composed of a system of connected trestles; for a bridge or pier or scaffold e.g.,n04480141,trestlework
13856,"(architecture) a vaulted structure; ""arches and vaulting""",n04523993,vaulting
13857,an elaborate system of vaulting in which the ribs diverge like fans,n03321954,fan vaulting
13858,structure consisting of a sloping way down to the water from the place where ships are built or repaired,n04565039,"ways, shipway, slipway"
13859,a structure built over a well,n04573045,wellhead
13860,a structure resembling a tunnel where air is blown at known velocities for testing parts of aircraft,n04591359,wind tunnel
13861,a structure of small hexagonal cells constructed from beeswax by bees and used to store honey and larvae,n09218315,honeycomb
13862,equality of distribution,n13897996,"balance, equilibrium, equipoise, counterbalance"
13863,a symmetrical arrangement of the parts of a thing,n13898207,conformation
13864,balance among the parts of something,n13898315,"symmetry, proportion"
13865,material used to pave an area,n14977504,"paving, pavement, paving material"
13866,broken stone used in macadamized roadways,n14977075,macadam
13867,a black bituminous material used for paving roads or other areas; usually spread over crushed rock,n14976871,"blacktop, blacktopping"
13868,a paving material of tar and broken stone; mixed in a factory and shaped during paving,n14977188,"tarmacadam, tarmac"
13869,a strong hard building material composed of sand and gravel and cement and water,n14820180,concrete
13870,"concrete pavement is sometimes referred to as cement; ""they stood on the grey cement beside the pool""",n14804487,cement
13871,concrete with metal and/or mesh added to provide extra support against stresses,n14804797,"reinforced concrete, ferroconcrete"
13872,mixed asphalt and crushed gravel or sand; used especially for paving but also for roofing,n14769465,asphalt
13873,an artifact that has been brought into existence by someone,n03129123,creation
13874,"creation that is created again or anew; ""it is a remake of an old film""",n04074329,"remake, remaking"
13875,a creation spoken or written or composed extemporaneously (without prior preparation),n03565402,improvisation
13876,a creation created or assembled by needle and thread,n03816849,"needlework, needlecraft"
13877,"needlework on which you are working with needle and thread; ""she put her sewing back in the basket""",n04179385,"sewing, stitchery"
13878,"sewing that repairs a worn or torn hole (especially in a garment); ""her stockings had several mends""",n03745285,"mend, patch, darn"
13879,"a link or loop or knot made by an implement in knitting, crocheting, embroidery, or sewing",n04321238,stitch
13880,any one of a number of stitches made by pulling a loop of yarn through another loop with a crochet needle,n03133177,crochet stitch
13881,a crochet stitch,n04222594,"single crochet, single stitch"
13882,a crochet stitch,n04191502,shell stitch
13883,a kind of crochet stitch,n03226743,"double crochet, double stitch"
13884,the most basic of all crochet stitches made by pulling a loop of yarn through another loop,n03000966,chain stitch
13885,a stitch taken in knitting,n03625783,knitting stitch
13886,a basic knitting stitch,n03625226,"knit, knit stitch, plain, plain stitch"
13887,a knitting stitch that results in a pattern of horizontal ridges formed by knitting both sides (instead of purling one side),n03421485,garter stitch
13888,a basic knitting stitch,n04026180,"purl, purl stitch"
13889,"knitting stitch having alternate rows of knit stitches and purl stitches, producing a fabric as for stockings",n04323645,stockinette stitch
13890,a stitch made with thread and a threaded sewing needle through fabric or leather,n04180314,"sewing stitch, embroidery stitch"
13891,a stitch in which parallel threads are drawn and exposed threads are caught together in groups,n03514693,"hemstitch, hemstitching"
13892,a small diagonal needlepoint stitch,n03920181,"petit point, tent stitch"
13893,a stitch passing over an edge vertically,n03864254,overhand stitch
13894,"an edging of small loops, as on lace or ribbon",n03930946,picot
13895,the stitch that ties a group of parallel threads together in fagoting,n03317510,"fagot stitch, faggot stitch"
13896,a loose temporary sewing stitch to hold layers of fabric together,n02805111,"baste, basting, basting stitch, tacking"
13897,a loose stitch catching only a thread or two of fabric; designed to be invisible from the right side,n04241782,slip stitch
13898,needlepoint embroidery stitch that produces zigzag lines,n02792822,"bargello, flame stitch"
13899,"small, even, hand stitches run in and out",n04120593,running stitch
13900,flat stitches worked so closely as to resemble satin,n04138560,satin stitch
13901,"a sewing stitch made by a sewing machine, sometimes using more than one thread",n03702067,"machine stitch, sewing-machine stitch"
13902,machine stitch in which the top thread interlocks with the bobbin thread,n03684611,lockstitch
13903,a needlepoint stitch covering two horizontal and two vertical threads,n03462315,gros point
13904,a stitch made by looping the thread several times around the needle before inserting it into the fabric,n03395095,French knot
13905,"a reinforcing looped stitch for edges, as around a buttonhole",n02929059,buttonhole stitch
13906,"a decorative overcast or running stitch, especially in a contrasting color",n04124887,saddle stitch
13907,a sewing stitch passing over an edge diagonally,n04578559,"whipstitch, whipping, whipstitching"
13908,a long whipstitch or overhand stitch overlying an edge to prevent raveling,n03863442,"overcast, overcasting"
13909,a looped stitch resembling the links of a chain; used in embroidery and in sewing,n03000808,chain stitch
13910,long chain stitches arranged in flower patterns,n03650973,lazy daisy stitch
13911,a stitch used in sewing hems on skirts and dresses,n03514340,hemming-stitch
13912,a strong reinforcing stitch for edges of blanket and other thick material; similar to buttonhole stitch,n02849565,blanket stitch
13913,stitching through layers of fabric and a filling so as to create a design,n04034477,quilting
13914,an overlapping stitch made by starting the next stitch at the middle of the preceding one,n02771383,backstitch
13915,"a loose, looped, sewing stitch used to transfer marking for darts, etc., from a pattern to material",n04385272,tailor's tack
13916,two stitches forming a cross or X,n03137863,cross-stitch
13917,a single cross stitch at a diagonal,n03477674,half cross stitch
13918,sewing consisting of small folds or puckers made by pulling tight a thread in a line of stitching,n03428805,"gather, gathering"
13919,sewing consisting of pieces of different materials sewn together in a pattern,n03898500,patchwork
13920,strip sewn over or along an edge for reinforcement or decoration,n02840927,binding
13921,a decorative design made of one material sewn over another,n02730437,applique
13922,needlework done by interlocking looped stitches with a hooked needle,n03132879,"crochet, crocheting"
13923,needlework consisting of handmade lace made by looping and knotting a single thread on a small shuttle,n04395495,tatting
13924,decorative needlework,n03282933,"embroidery, fancywork"
13925,embroidery in which groups of parallel threads are tied together with fagot stitches,n03317340,"fagoting, faggoting"
13926,loops of soft yarn are cut to give a tufted pattern,n02948834,candlewick
13927,embroidery consisting of allover embroidered canvas resembling tapestry,n03816659,"needlepoint, needlepoint embroidery"
13928,needlepoint embroidery done with large stitches,n03462211,gros point
13929,needlepoint done with small stitches,n03920087,petit point
13930,a piece of embroidery demonstrating skill with various stitches,n04133211,sampler
13931,embroidery in which the design is outlined in a buttonhole stitch and the intervening material is cut away,n03154895,cutwork
13932,embroidery done with pairs of stitches that cross each other,n03137744,cross-stitch
13933,embroidery done with loosely twisted worsted yarn,n03131325,crewelwork
13934,embroidery similar to drawnwork,n03514588,hemstitch
13935,embroidery consisting of ornamental needlework on a garment that is made by gathering the cloth tightly in stitches,n04246271,smocking
13936,ornamental needlework done by drawing threads to form lacelike patterns,n03235433,drawnwork
13937,needlework created by interlacing yarn in a series of connected loops using straight eyeless needles or by machine,n03624966,"knit, knitting, knitwork"
13938,"an artifact that has been created by someone or some process; ""they improve their product every year""; ""they export most of their agricultural production""",n04007894,"product, production"
13939,"a product produced or accomplished through the effort or activity or agency of a person or thing; ""it is not regarded as one of his more memorable works""; ""the symphony was hailed as an ingenious work""; ""he was indebted to the pioneering work of John Dewey""; ""the work of an active imagination""; ""erosion is the work of wind or water over time""",n04599396,"work, piece of work"
13940,the most outstanding work of a creative artist or craftsman,n03727605,"masterpiece, chef-d'oeuvre"
13941,a work produced by hand labor,n03485655,"handicraft, handcraft, handiwork, handwork"
13942,work consisting of (or resembling) lace fabric,n03631710,lacework
13943,ornamental work (such as embroidery or latticework) having a pattern of openings,n03849679,openwork
13944,work made of interlaced slender branches (especially willow branches),n04582205,"wicker, wickerwork, caning"
13945,a decorative work made of wood and covered with lacquer and often inlaid with ivory or precious metals,n03631922,lacquerware
13946,lacquerware decorated and varnished in the Japanese manner with a glossy durable black lacquer,n03593362,japan
13947,work consisting of a piece of metal being machined,n04601938,workpiece
13948,"work made of iron (gratings or rails or railings etc); ""the houses had much ornamental ironwork""",n03586760,ironwork
13949,"a piece of work that exploits or builds on earlier work; ""his new software is a follow-up to the programs they started with""",n03377582,"follow-up, followup"
13950,work made of wood; especially moldings or stairways or furniture,n04598792,woodwork
13951,woodwork finished by hand by a cabinetmaker,n02933649,cabinetwork
13952,woodwork that has been machined at a mill,n03767363,millwork
13953,fine woodwork done by a joiner,n03600722,joinery
13954,a copy of a printed work offered for distribution,n06589574,publication
13955,a publication containing a variety of works,n06591442,"collection, compendium"
13956,something that is compiled (as into a single book or file),n06593099,"compilation, digest"
13957,a collection of selected literary passages,n06591609,anthology
13958,an anthology of short literary pieces and poems and ballads etc.,n06592699,"florilegium, garland, miscellany"
13959,an anthology of articles on a related subject or an anthology of the works of a single author,n06592844,omnibus
13960,a collection of Persian or Arabic poems (usually by one author),n06592576,"divan, diwan"
13961,collection of records especially about an institution,n06592991,archives
13962,"something that is read; ""the article was a very good read""",n06590065,read
13963,"all the copies of a work printed at one time; ""they ran off an initial printing of 2000 copies""",n06590210,"impression, printing"
13964,(printing) an impression made to check for errors,n06590885,"proof, test copy, trial impression"
13965,a proof taken before the type is broken up to print pages,n06591108,galley proof
13966,a proof taken from a form before duplicate plates are made,n06591224,foundry proof
13967,a printed impression that is blurred or doubled,n06591342,mackle
13968,the form in which a text (especially a printed book) is published,n06590446,edition
13969,an edition containing various versions of a text or notes by various scholars or editors,n06590723,"variorum, variorum edition"
13970,an edition that is restricted to a specific number of copies,n06590601,limited edition
13971,"a publication containing the latest information or tips or predictions for a particular business or stock market information or horse racing results, etc.",n06595797,tip sheet
13972,a racing publication giving information on horses and the outcomes of horse races,n06596025,"dope sheet, scratch sheet"
13973,a publication (such as a book) that is reprinted without changes or editing and offered again for sale,n06270308,"reissue, reprint, reprinting"
13974,a publication (such as a book) that has been modified or updated and offered again for sale,n06270541,new edition
13975,"a publication that is one of a set of several similar publications; ""the third volume was missing""; ""he asked for the 1989 volume of the Annual Review""",n06413666,volume
13976,a publication that appears at fixed intervals,n06593296,periodical
13977,a periodical (magazine or newspaper) containing many pictures,n06593668,pictorial
13978,"a periodical that is published by a special interest group; ""the organ of the communist party""",n06595056,organ
13979,a periodical published by a business firm for its employees and customers,n06595220,house organ
13980,"a periodical dedicated to a particular subject; ""he reads the medical journals""",n06597466,journal
13981,reports of the work of a society or learned body etc,n06597617,annals
13982,"one of a series published periodically; ""she found an old issue of the magazine in her dentist's waiting room""",n06596978,"issue, number"
13983,"an issue of a newspaper; ""he read it in yesterday's edition of the Times""",n06597204,edition
13984,an additional edition of a newspaper (usually to report a crisis),n06597349,extra
13985,a periodical that appears at scheduled times,n06593803,"series, serial, serial publication"
13986,a periodical that is published twice a week or every two weeks (either 104 or 26 issues per year),n06594904,biweekly
13987,a periodical that is published every week (or 52 issues per year),n06594258,weekly
13988,a periodical that is published twice a month or every two months (either 24 or 6 issues per year),n06594751,bimonthly
13989,a periodical that is published twice each month (or 24 issues per year),n06594376,semimonthly
13990,a periodical that is published every quarter (or four issues per year),n06594625,quarterly
13991,a periodical that is published every month (or 12 issues per year),n06594505,monthly
13992,a periodical that is published twice each week (or 104 issues per year),n06594130,semiweekly
13993,a periodical that publishes critical essays on current affairs or literature or art,n06597758,review
13994,a review devoted to literary criticism,n06597930,literary review
13995,a periodical that summarizes the news,n06593542,digest
13996,something that has been published again; a fresh publication (as of a literary work),n07258964,republication
13997,"a publication (or a passage from a publication) that is referred to; ""he carried an armful of references back to his desk""; ""he spent hours looking for the source of that quotation""",n07258664,"reference, source"
14005,"a written work or composition that has been published (printed on pages bound together); ""I am reading a good book on economics""",n06410904,book
14006,books on strange or unusual subjects (especially erotica),n06411753,curiosa
14007,a student's book or booklet containing problems with spaces for solving them,n06415791,workbook
14008,a book containing prayers,n06416946,"prayer book, prayerbook"
14009,(Roman Catholic Church) a book of prayers to be recited daily certain priests and members of religious orders,n06417096,breviary
14010,(Roman Catholic Church) a book containing all the prayers and responses needed to celebrate Mass throughout the year,n06417279,missal
14011,a collection of Psalms for liturgical use,n06417467,"Psalter, Book of Psalms"
14012,a copy of a newly published book that is sent for review to a writer or periodical,n06418006,review copy
14013,a medieval book (usually illustrated) with allegorical and amusing descriptions of real and fabled animals,n06412610,bestiary
14014,a book (usually for children) that contains one or more pages such that a three-dimensional structure rises up when a page is opened,n06413260,"pop-up book, pop-up"
14015,a book containing a collection of stories (usually for children),n06413459,storybook
14016,"a book to which you can refer for authoritative facts; ""he contributed articles to the basic reference work on that topic""",n06417598,"reference book, reference, reference work, book of facts"
14017,a collection of historically important documents published together as a book,n06418558,source book
14018,a reference book containing words (usually with their meanings),n06418693,wordbook
14019,a reference book containing an alphabetical list of words with information about them,n06418901,"dictionary, lexicon"
14020,an abridged dictionary of a size convenient to hold in the hand,n06419354,"desk dictionary, collegiate dictionary"
14021,a dictionary specially written for those learning a foreign language,n06419757,"learner's dictionary, school dictionary"
14022,a dictionary giving equivalent words in two languages,n06419234,bilingual dictionary
14023,a dictionary that is small enough to carry in your pocket,n06419912,"pocket dictionary, little dictionary"
14024,a dictionary that has not been shortened by the omitting terms or definitions; a comprehensive dictionary,n06420219,"unabridged dictionary, unabridged"
14025,a geographical dictionary (as at the back of an atlas),n06419628,gazetteer
14026,a dictionary giving the historical origins of each word,n06419503,etymological dictionary
14027,an electronic dictionary in a word processor that can be used to catch misspelled words,n06420053,"spell-checker, spelling checker"
14028,an alphabetical list of technical terms in some specialized field of knowledge; usually published as an appendix to a text on that field,n06420781,"glossary, gloss"
14029,a list of proper nouns naming persons or places,n06420573,onomasticon
14030,a listing of the words used in some enterprise,n06420678,vocabulary
14031,a book containing a classified list of synonyms,n06421016,"thesaurus, synonym finder"
14032,a thesaurus organized to help you find the word you want but cannot think of,n06421154,"word finder, wordfinder"
14033,a collection of maps in book form,n06427086,"atlas, book of maps, map collection"
14034,an atlas showing the distribution of distinctive linguistic features,n06427240,"dialect atlas, linguistic atlas"
14035,a book of directions for using or operating some piece of equipment,n06413130,instruction book
14036,a concise reference book providing specific information about a subject or location,n06421301,"handbook, enchiridion, vade mecum"
14037,a handbook of tables used to facilitate computation,n06423496,"reckoner, ready reckoner"
14038,something that offers basic information or instruction,n06422740,"guidebook, guide"
14039,a guidebook for travelers,n06423378,"travel guidebook, itinerary"
14040,any of a series of travel guidebooks published by the German firm founded by Karl Baedeker,n06423233,baedeker
14041,"a guidebook describing natural objects of some type that might be encountered in the field; ""a field guide to mushrooms""",n06422912,field guide
14042,a guidebook describing the roads of a country; contains maps and (sometimes) a gazetteer,n06423090,roadbook
14043,a book regarded as authoritative in its field,n06422643,bible
14044,a small handbook,n06421685,manual
14045,a manual describing the customs of a particular group (especially the ceremonial practices of a monastic order),n06421844,"consuetudinary, consuetudinal"
14046,a manual containing instruction in sexual techniques; intended to enhance the reader's sexual life,n06422488,sex manual
14047,a manual of black magic (for invoking spirits and demons),n06422032,grimoire
14048,a manual usually accompanying a technical device and explaining how to install or operate it,n06422144,"instruction manual, instructions, book of instructions, operating instructions"
14049,a manual containing information organized in a summary manner,n06422364,reference manual
14050,a reference work (often in several volumes) containing articles on various topics (often arranged in alphabetical order) dealing with the entire range of human knowledge or with some particular specialty,n06427387,"encyclopedia, cyclopedia, encyclopaedia, cyclopaedia"
14051,an elementary encyclopedia dealing with general knowledge,n06427710,book of knowledge
14052,an alphabetical list of names and addresses,n06423619,directory
14053,a directory containing an alphabetical list of telephone subscribers and their telephone numbers,n06423754,"phonebook, phone book, telephone book, telephone directory"
14054,a telephone directory or section of a directory (usually printed on yellow paper) where business products and services are listed alphabetically by field along with classified advertising,n07251373,yellow pages
14055,a telephone directory or section of a directory (usually printed on white paper) where the names of people are listed alphabetically along with their telephone numbers,n07251148,white pages
14056,a register of persons who are socially prominent,n06507711,blue book
14057,a reference book that is published regularly once every year,n06426468,"annual, yearly, yearbook"
14058,an annual publication containing tabular information in a particular field or fields arranged according to the calendar of a given year,n06426279,almanac
14059,an annual publication including weather forecasts and other miscellaneous information arranged according to the calendar of a given year,n06426655,"almanac, farmer's calendar"
14060,"an annual publication containing astronomical tables that give the positions of the celestial bodies throughout the year; ""today computers calculate the ephemerides""",n06426865,ephemeris
14061,a book of recipes and cooking directions,n06413020,"cookbook, cookery book"
14062,"a book prepared for use in schools or colleges; ""his economics textbook is in its tenth edition""; ""the professor wrote the text that he assigned students to buy""",n06414372,"textbook, text, text edition, schoolbook, school text"
14063,a basic or elementary instructional text,n06414849,introduction
14064,an introductory textbook,n06414948,primer
14065,an introductory textbook to teach spelling,n06415323,speller
14066,a primer that provides instruction in the rudiments or basic skills of a branch of knowledge,n06421538,hornbook
14067,one of a series of texts for students learning to read,n06415061,reader
14068,readers that combined lessons in reading with moralistic messages,n06415186,McGuffey Eclectic Readers
14069,a textbook designed for cramming,n06414727,crammer
14070,"a book or pamphlet containing an enumeration of things; ""he found it in the Sears catalog""",n06416206,"catalog, catalogue"
14071,a catalog listing the courses offered by a college or university,n06674947,"course catalog, course catalogue, prospectus"
14072,"a first draft of a prospectus; must be clearly marked to indicate that parts may be changed in the final prospectus; ""because some portions of the cover page are printed in red ink a preliminary prospectus is sometimes called a red herring""",n07165778,"preliminary prospectus, red herring"
14073,a book containing a collection of songs,n06418146,songbook
14074,a songbook containing a collection of hymns,n06418258,"hymnal, hymnbook, hymnary"
14075,"a book containing the scripts of one or more dramatic plays; ""the 1963 playbook leaves out the whole first scene""",n06416598,playbook
14076,a book published annually by the graduating class of a high school or college usually containing photographs of faculty and graduating students,n07282497,yearbook
14077,a book containing common expressions in a foreign language along with their translations,n06416452,phrase book
14078,"(pharmacology) a book containing a compilation of pharmaceutical products with their formulas and methods of preparation; ""postexposure prophylaxis is an integral part of the pharmacopeia in preventing severe disease after acute infections""",n06411883,"formulary, pharmacopeia"
14079,a small book usually having a paper cover,n06413889,"booklet, brochure, folder, leaflet, pamphlet"
14080,a book of tickets that can be torn out and used,n06414267,ticket book
14081,a blue booklet used in universities for writing examinations,n06414151,blue book
14082,an elementary book summarizing the principles of a Christian religion; written as questions and answers,n06412771,catechism
14083,"an authoritative written work; ""this book is the final authority on the life of Milton""",n06411592,authority
14084,"an authoritative statement; ""my doctor has the last word on the medicines I take""",n06412213,last word
14085,a (usually) large and scholarly book,n06413579,tome
14086,a book intended for general readership,n06412350,"trade book, trade edition"
14087,a book that has had a large and rapid sale,n06412497,"best seller, bestseller"
14088,a book containing models of good penmanship; used in teaching penmanship,n06415922,copybook
14089,a book containing a calendar and space to keep a record of appointments,n06416049,"appointment book, appointment calendar"
14090,"the metal parts of something; ""there were bullet holes in the metalwork""",n03752521,metalwork
14091,work made of leather,n03653376,leatherwork
14092,decorative work made of silver,n04221586,silverwork
14093,a piece of work composed of or decorated in many colors,n03979100,polychrome
14094,a piece of work that is not yet finished,n04601587,work in progress
14095,"something that can be provided as the product of development; ""under this contract the deliverables include both software and hardware""",n03173736,deliverable
14096,what is produced in a given time period,n03860882,"output, outturn, turnout"
14097,output relative to input; the amount passing through a system from input to output (especially of a computer program over a period of time),n04429756,throughput
14098,final product; the things produced,n03287178,"end product, output"
14099,"the output of something in a season; ""the latest crop of fashions is about to hit the stores""",n03134595,crop
14100,the end-product created by shaping something on a lathe,n04500504,turning
14101,"the total output of a writer or artist (or a substantial part of it); ""he studied the entire Wagnerian oeuvre""; ""Picasso's work can be divided into periods""",n03841417,"oeuvre, work, body of work"
14102,"(usually plural) the collected work of an author; ""the idea occurs with increasing frequency in Hemingway's writings""",n06363778,writing
14103,the writings of the early Church Fathers,n06364004,"patristics, patrology"
14104,"a number of sheets (ticket or stamps etc.) bound together on one edge; ""he bought a book of stamps""",n02870526,book
14105,"a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement; ""they went to a movie every Saturday night""; ""the film was shot on location""",n06613686,"movie, film, picture, moving picture, moving-picture show, motion picture, motion-picture show, picture show, pic, flick"
14106,a play or film whose action and dialogue is interspersed with singing and dancing,n07019172,"musical, musical comedy, musical theater"
14107,a movie that apparently takes place at a slower than normal speed; achieved by taking the film at a faster rate,n06617866,slow motion
14108,the first print of a movie after preliminary editing,n06617644,rough cut
14109,a film made at home by an amateur photographer,n06615458,home movie
14110,a movie that is advertised to draw customers,n06615927,coming attraction
14111,a movie with synchronized speech and singing,n06618822,"talking picture, talkie"
14112,a movie that juxtaposes different kinds of footage,n06615818,collage film
14113,"the principal (full-length) film in a program at a movie theater; ""the feature tonight is `Casablanca'""",n06615026,"feature, feature film"
14114,a film about life in the western United States during the period of exploration and development,n06616035,"Western, horse opera"
14115,a low-budget Western movie produced by a European (especially an Italian) film company,n06618653,spaghetti Western
14116,a movie featuring shooting and violence,n06616216,shoot-'em-up
14117,the final edited version of a movie as approved by the director and producer,n06615216,final cut
14118,"a movie that is marked by a mood of pessimism, fatalism, menace, and cynical characters; ""film noir was applied by French critics to describe American thriller or detective films in the 1940s""",n06617165,film noir
14119,a movie with images having three dimensional form or appearance,n06618937,"three-D, 3-D, 3D"
14120,a movie that shows ordinary people in actual activities without being controlled by a director,n06617011,cinema verite
14121,a pornographic movie,n06617413,skin flick
14122,a short pornographic film shown in a small coin-operated booth,n06617527,peepshow
